date_aaaammjj;menutypeplat;plat;specificites;repas
2020-09-03;Entrée;SALADE LAITUE FEUILLE BIO A LA FETA;Produit Agriculture Biologique;DEJEUNER
2020-09-03;Plat;MERGUEZ A GRILLER A LA SAUCE TOMATE;;DEJEUNER
2020-09-04;Entrée;RADIS BEURRE;Haute Qualité Alimentaire;DEJEUNER
2020-09-04;Plat;FILET DE POULET A GRILLER CREME TANDOORI;;DEJEUNER
2020-09-07;Entrée;ROULE AU FROMAGE;;DEJEUNER
2020-09-07;Plat;TORTILLA (OMELETTE PDT ET LEGUMES) - PLAT COMPLET VEGETARIEN PA;;DEJEUNER
2020-09-07;Fromage;FROMAGE CANTAL IND;Haute Qualité Alimentaire;DEJEUNER
2020-09-07;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 2;Produit Agriculture Biologique;DEJEUNER
2020-09-08;Légumes;POMME DE TERRE FRITE FRAICHE;;DEJEUNER
2020-09-08;Fromage;FROMAGE ROUY;;DEJEUNER
2020-09-10;Plat;PILON DE POULET CUIT AUX HERBES;;DEJEUNER
2020-09-11;Entrée;AVOCAT VINAIGRETTE;;DEJEUNER
2020-09-11;Dessert;COMPOTE POMME FRAICHE UPC;Haute Qualité Alimentaire;DEJEUNER
2020-09-15;Légumes;AUBERGINE PROVENCAL;;DEJEUNER
2020-09-15;Fromage;FROMAGE CARRE FRAIS BIO IND;Produit Agriculture Biologique;DEJEUNER
2020-09-15;Fromage;YAOURT BIO FRAISE;Produit Agriculture Biologique;DEJEUNER
2020-09-17;Plat;TORTELLINI RICOTTA/EPINARD A LA CREME - COMPLET ALTERNATIF PA;;DEJEUNER
2020-09-18;Plat;FILET MEUNIERE ET CITRON;;DEJEUNER
2020-09-18;Fromage;FROMAGE EDAM BIO IND;Produit Agriculture Biologique;DEJEUNER
2020-09-18;Dessert;CREME DESSERT VANILLE BIO;Produit Agriculture Biologique;DEJEUNER
2020-09-18;Dessert;POIRE WILLIAMS BIO SAUCE CHOCOLAT;Produit Agriculture Biologique;DEJEUNER
2020-09-21;Entrée;HOUMOUS ET BATONNET CAROTTE UPC;Haute Qualité Alimentaire;DEJEUNER
2020-09-21;Plat;ASSIETTE ORIENTALE ET SA SEMOULE BIO - COMPLET ALTERNATIF PV;;DEJEUNER
2020-09-21;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 2;Produit Agriculture Biologique;DEJEUNER
2020-09-22;Entrée;SARDINE A L'HUILE ET CITRON FRAIS;;DEJEUNER
2020-09-22;Entrée;TOMATE FRAICHE AU THON;Haute Qualité Alimentaire;DEJEUNER
2020-09-22;Plat;CHIPOLATA A GRILLER A LA SAUCE TOMATE A/PORC;Haute Qualité Alimentaire;DEJEUNER
2020-09-22;Légumes;PUREE MOUSSELINE UPC;;DEJEUNER
2020-09-22;Dessert;GAUFRE SAUCE CHOCOLAT;;DEJEUNER
2020-09-24;Entrée;SALADE LAITUE BIO AUX DES D'EMMENTAL;Produit Agriculture Biologique;DEJEUNER
2020-09-24;Fromage;FROMAGE CANTAL AOP;Haute Qualité Alimentaire;DEJEUNER
2020-09-24;Fromage;FROMAGE SAINT PAULIN BIO;Produit Agriculture Biologique;DEJEUNER
2020-09-25;Entrée;TOMATE CERISE TAPENADE;;DEJEUNER
2020-09-25;Fromage;PETIT SUISSE NATURE BIO 60GR ET SUCRE;Produit Agriculture Biologique;DEJEUNER
2020-09-29;Plat;FILET DE DORADE SAUCE CATALANE;;DEJEUNER
2020-09-29;Fromage;FROMAGE KIRI CREME IND;;DEJEUNER
2020-09-29;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 2;Produit Agriculture Biologique;DEJEUNER
2020-10-01;Entrée;SALADE DE TAGLIATELLES BIO AUX CREVETTES;Produit Agriculture Biologique;DEJEUNER
2020-10-01;Légumes;GRATIN DAUPHINOIS UPC;;DEJEUNER
2020-10-02;Entrée;SALADE MELANGE LOCALE BIO BILLES MOZZARELLA;Produit Agriculture Biologique;DEJEUNER
2020-10-02;Entrée;TOMATE FRAICHE VINAIGRETTE;Haute Qualité Alimentaire;DEJEUNER
2020-10-05;Entrée;AVOCAT VINAIGRETTE;;DEJEUNER
2020-10-05;Légumes;BROCOLI BIO EN GRATIN;Produit Agriculture Biologique;DEJEUNER
2020-10-05;Dessert;IRISH LEMON CAKE - UPC;;DEJEUNER
2020-10-06;Plat;OMELETTE/GALETTE PDT SUR TOASTINETTE - COMPLET ALTERNATIF PA;;DEJEUNER
2020-10-06;Plat;SPAGHETTIS CARBONARA PLAT COMPLET;;DEJEUNER
2020-10-08;Entrée;JAMBON CRU SALVETAT/CORNICHON A/PORC;Haute Qualité Alimentaire;DEJEUNER
2020-10-08;Plat;MACARONADE SETOISE A/PORC GARNITURE;;DEJEUNER
2020-10-08;Fromage;FROMAGE SALAGOU TOMETTE DU CAYLAR;Haute Qualité Alimentaire;DEJEUNER
2020-10-09;Entrée;PIZZA AU FROMAGE EN BANDE;;DEJEUNER
2020-10-09;Entrée;SALADE MELANGE BIO AUX DES DE TOMATE;Produit Agriculture Biologique;DEJEUNER
2020-10-09;Légumes;CAROTTE FRAICHE BEURRE PERSILLEE;Haute Qualité Alimentaire;DEJEUNER
2020-10-09;Dessert;CREME DESSERT VANILLE PETIT POT;;DEJEUNER
2020-10-12;Entrée;CHOU FLEUR FLEURETTE CRU SAUCE COCKTAIL;;DEJEUNER
2020-10-12;Plat;DOS DE COLIN SAUCE CATALANE;;DEJEUNER
2020-10-12;Légumes;HARICOTS VERTS BIO AU BEURRE PERSILLES;Produit Agriculture Biologique;DEJEUNER
2020-10-12;Fromage;FROMAGE BLANC NATURE BIO;Produit Agriculture Biologique;DEJEUNER
2020-10-13;Plat;ROUGAIL SAUCISSE A/PORC;Haute Qualité Alimentaire;DEJEUNER
2020-10-15;Plat;OMELETTE NATURE BIO;Produit Agriculture Biologique;DEJEUNER
2020-10-15;Dessert;SALADE FRUITS D'HIVER FRAIS;Haute Qualité Alimentaire;DEJEUNER
2020-10-16;Entrée;OEUF A LA COQUE ET MOUILLETTE;;DEJEUNER
2020-10-16;Dessert;LIEGEOIS VANILLE / CARAMEL;;DEJEUNER
2020-11-02;Entrée;CAROTTES RAPEES AU CITRON;;DEJEUNER
2020-11-02;Plat;POISSON PAVE BORDELAISE;;DEJEUNER
2020-11-03;Entrée;PATE CAMPAGNE HQA A/PORC;Haute Qualité Alimentaire;DEJEUNER
2020-11-03;Légumes;PRINTANIERE DE LEGUMES;;DEJEUNER
2020-11-03;Fromage;FROMAGE CANTAL AOP;Haute Qualité Alimentaire;DEJEUNER
2020-11-05;Plat;CURRY LEGUMES/RIZ DE CAMARGUE- PLAT COMPLET ALTERNATIF PV;Haute Qualité Alimentaire;DEJEUNER
2020-11-05;Plat;SAUTE DE PORC BIO EN CIVET;Produit Agriculture Biologique;DEJEUNER
2020-11-06;Plat;DOS DE CABILLAUD A LA SAUCE CATALANE;;DEJEUNER
2020-11-09;Plat;DOS DE COLIN MARINADE HUILE D'OLIVE ET CITRON;;DEJEUNER
2020-11-10;Plat;SAUCISSE AUX HERBES A GRILLER A/PORC HQA;Haute Qualité Alimentaire;DEJEUNER
2020-11-10;Dessert;COMPOTE BIO POMME ALLEGEE ET BISCUIT CIGARETTE;Produit Agriculture Biologique;DEJEUNER
2020-11-12;Entrée;SALADE MELANGE LOCALE BIO AUX CROUTONS;Produit Agriculture Biologique;DEJEUNER
2020-11-12;Dessert;DANETTE VANILLE IND;;DEJEUNER
2020-11-12;Dessert;RIZ AU LAIT ENTIER ET CARAMEL IND;;DEJEUNER
2020-11-13;Entrée;CHORIZO DOUX A/PORC;;DEJEUNER
