Country,Population,Area,GDP,Richesse
East Timor ,1062777,15007,500,Faible
Sierra Leone ,6005250,71740,500,Faible
Somalia ,8863338,637657,500,Faible
Burundi ,8090068,27830,600,Faible
Gaza Strip ,1428757,360,600,Faible
Malawi ,13013926,118480,600,Faible
Tanzania ,37445392,945087,600,Faible
Afghanistan ,31056997,647500,700,Faible
Comoros ,690948,2170,700,Faible
"Congo, Dem. Rep. ",62660551,2345410,700,Faible
"Congo, Repub. of the ",3702314,342000,700,Faible
Eritrea ,4786994,121320,700,Faible
Ethiopia ,74777981,1127127,700,Faible
Guinea-Bissau ,1442029,36120,800,Faible
Kiribati ,105432,811,800,Faible
Madagascar ,18595469,587040,800,Faible
Niger ,12525094,1267000,800,Faible
West Bank ,2460492,5860,800,Faible
Yemen ,21456188,527970,800,Faible
Zambia ,11502010,752614,800,Faible
Mali ,11716829,1240000,900,Faible
Nigeria ,131859731,923768,900,Faible
Kenya ,34707817,582650,1000,Faible
Liberia ,3042004,111370,1000,Faible
Tajikistan ,7320815,143100,1000,Faible
Benin ,7862944,112620,1100,Faible
Burkina Faso ,13902972,274200,1100,Faible
Central African Rep. ,4303356,622984,1100,Faible
Tuvalu ,11810,26,1100,Faible
Chad ,9944201,1284000,1200,Faible
Mozambique ,19686505,801590,1200,Faible
Sao Tome & Principe ,193413,1001,1200,Faible
Bhutan ,2279723,47000,1300,Faible
Djibouti ,486530,23000,1300,Faible
"Korea, North ",23113019,120540,1300,Faible
Rwanda ,8648248,26338,1300,Faible
Cape Verde ,420979,4033,1400,Faible
Cote d'Ivoire ,17654843,322460,1400,Faible
Nepal ,28287147,147181,1400,Faible
Uganda ,28195754,236040,1400,Faible
Iraq ,26783383,437072,1500,Faible
Togo ,5548702,56785,1500,Faible
Haiti ,8308504,27750,1600,Faible
Kyrgyzstan ,5213898,198500,1600,Faible
Marshall Islands ,60422,11854,1600,Faible
Senegal ,11987121,196190,1600,Faible
"Gambia, The ",1641564,11300,1700,Faible
Laos ,6368481,236800,1700,Faible
Solomon Islands ,552438,28450,1700,Faible
Uzbekistan ,27307134,447400,1700,Faible
Burma ,47382633,678500,1800,Faible
Cameroon ,17340702,475440,1800,Faible
Mauritania ,3177388,1030700,1800,Faible
Moldova ,4466706,33843,1800,Faible
Mongolia ,2832224,1564116,1800,Faible
Angola ,12127071,1246700,1900,Faible
Bangladesh ,147365352,144000,1900,Faible
Cambodia ,13881427,181040,1900,Faible
Sudan ,41236378,2505810,1900,Faible
Zimbabwe ,12236805,390580,1900,Faible
"Micronesia, Fed. St. ",108004,702,2000,Moyenne
Guinea ,9690222,245857,2100,Moyenne
Pakistan ,165803560,803940,2100,Moyenne
Ghana ,22409572,239460,2200,Moyenne
Papua New Guinea ,5670544,462840,2200,Moyenne
Serbia ,9396411,88361,2200,Moyenne
Tonga ,114689,748,2200,Moyenne
Nicaragua ,5570129,129494,2300,Moyenne
Bolivia ,8989046,1098580,2400,Moyenne
Georgia ,4661473,69700,2500,Moyenne
Saint Helena ,7502,413,2500,Moyenne
Vietnam ,84402966,329560,2500,Moyenne
Honduras ,7326496,112090,2600,Moyenne
Mayotte ,201234,374,2600,Moyenne
Equatorial Guinea ,540109,28051,2700,Moyenne
Cuba ,11382820,110860,2900,Moyenne
India ,1095351995,3287590,2900,Moyenne
Saint Vincent and the Grenadines ,117848,389,2900,Moyenne
Vanuatu ,208869,12200,2900,Moyenne
Lesotho ,2022331,30355,3000,Moyenne
Indonesia ,245452739,1919440,3200,Moyenne
Ecuador ,13547510,283560,3300,Moyenne
Syria ,18881361,185180,3300,Moyenne
Azerbaijan ,7961619,86600,3400,Moyenne
Montserrat ,9439,102,3400,Moyenne
Armenia ,2976372,29800,3500,Moyenne
Sri Lanka ,20222240,65610,3700,Moyenne
Wallis and Futuna ,16025,274,3700,Moyenne
Jamaica ,2758124,10991,3900,Moyenne
Maldives ,359008,300,3900,Moyenne
Egypt ,78887007,1001450,4000,Moyenne
Guyana ,767245,214970,4000,Moyenne
Morocco ,33241259,446550,4000,Moyenne
Suriname ,439117,163270,4000,Moyenne
Guatemala ,12293545,108890,4100,Moyenne
Jordan ,5906760,92300,4300,Moyenne
Albania ,3581655,28748,4500,Moyenne
Philippines ,89468677,300000,4600,Moyenne
Paraguay ,6506464,406750,4700,Moyenne
El Salvador ,6822378,21040,4800,Moyenne
Lebanon ,3874050,10400,4800,Moyenne
