Country,Population,Area,GDP,Richesse
Lebanon ,3874050,10400,4800,Moyenne
Jamaica ,2758124,10991,3900,Moyenne
"Gambia, The ",1641564,11300,1700,Faible
Puerto Rico ,3927188,13790,16800,Elevée
East Timor ,1062777,15007,500,Faible
Swaziland ,1136334,17363,4900,Moyenne
Kuwait ,2418393,17820,19000,Elevée
Slovenia ,2010347,20273,19000,Elevée
Israel ,6352117,20770,19800,Elevée
El Salvador ,6822378,21040,4800,Moyenne
Macedonia ,2050554,25333,6700,Moyenne
Rwanda ,8648248,26338,1300,Faible
Haiti ,8308504,27750,1600,Faible
Burundi ,8090068,27830,600,Faible
Albania ,3581655,28748,4500,Moyenne
Armenia ,2976372,29800,3500,Moyenne
Lesotho ,2022331,30355,3000,Moyenne
Belgium ,10379067,30528,29100,Elevée
Moldova ,4466706,33843,1800,Faible
Taiwan ,23036087,35980,23400,Elevée
Guinea-Bissau ,1442029,36120,800,Faible
Switzerland ,7523934,41290,32700,Elevée
Netherlands ,16491461,41526,28600,Elevée
Denmark ,5450661,43094,31100,Elevée
Estonia ,1324333,45226,12300,Elevée
Bhutan ,2279723,47000,1300,Faible
Dominican Republic ,9183984,48730,6000,Moyenne
Slovakia ,5439448,48845,13300,Elevée
Costa Rica ,4075261,51100,9100,Moyenne
Bosnia & Herzegovina ,4498976,51129,6100,Moyenne
Croatia ,4494749,56542,10600,Moyenne
Togo ,5548702,56785,1500,Faible
Latvia ,2274735,64589,10200,Moyenne
Lithuania ,3585906,65200,11400,Moyenne
Sri Lanka ,20222240,65610,3700,Moyenne
Georgia ,4661473,69700,2500,Moyenne
Ireland ,4062235,70280,29600,Elevée
Sierra Leone ,6005250,71740,500,Faible
Panama ,3191319,78200,6300,Moyenne
Czech Republic ,10235455,78866,15700,Elevée
United Arab Emirates ,2602713,82880,23200,Elevée
Austria ,8192880,83870,30000,Elevée
Azerbaijan ,7961619,86600,3400,Moyenne
Serbia ,9396411,88361,2200,Moyenne
Jordan ,5906760,92300,4300,Moyenne
Portugal ,10605870,92391,18000,Elevée
Hungary ,9981334,93030,13900,Elevée
"Korea, South ",48846823,98480,17800,Elevée
Guatemala ,12293545,108890,4100,Moyenne
Cuba ,11382820,110860,2900,Moyenne
Bulgaria ,7385367,110910,7600,Moyenne
Liberia ,3042004,111370,1000,Faible
Honduras ,7326496,112090,2600,Moyenne
Benin ,7862944,112620,1100,Faible
Malawi ,13013926,118480,600,Faible
"Korea, North ",23113019,120540,1300,Faible
Eritrea ,4786994,121320,700,Faible
Nicaragua ,5570129,129494,2300,Moyenne
Greece ,10688058,131940,20000,Elevée
Tajikistan ,7320815,143100,1000,Faible
Nepal ,28287147,147181,1400,Faible
Tunisia ,10175014,163610,6900,Moyenne
Uruguay ,3431932,176220,12800,Elevée
Cambodia ,13881427,181040,1900,Faible
Syria ,18881361,185180,3300,Moyenne
Senegal ,11987121,196190,1600,Faible
Kyrgyzstan ,5213898,198500,1600,Faible
Belarus ,10293011,207600,6100,Moyenne
Oman ,3102229,212460,13100,Elevée
Uganda ,28195754,236040,1400,Faible
Laos ,6368481,236800,1700,Faible
Romania ,22303552,237500,7000,Moyenne
Ghana ,22409572,239460,2200,Moyenne
United Kingdom ,60609153,244820,27700,Elevée
Guinea ,9690222,245857,2100,Moyenne
Gabon ,1424906,267667,5500,Moyenne
New Zealand ,4076140,268680,21600,Elevée
Burkina Faso ,13902972,274200,1100,Faible
Ecuador ,13547510,283560,3300,Moyenne
Philippines ,89468677,300000,4600,Moyenne
Italy ,58133509,301230,26700,Elevée
Poland ,38536869,312685,11100,Moyenne
Cote d'Ivoire ,17654843,322460,1400,Faible
Norway ,4610820,323802,37800,Elevée
Vietnam ,84402966,329560,2500,Moyenne
Malaysia ,24385858,329750,9000,Moyenne
Finland ,5231372,338145,27400,Elevée
"Congo, Repub. of the ",3702314,342000,700,Faible
Germany ,82422299,357021,27600,Elevée
Japan ,127463611,377835,28200,Elevée
Zimbabwe ,12236805,390580,1900,Faible
Paraguay ,6506464,406750,4700,Moyenne
Iraq ,26783383,437072,1500,Faible
Morocco ,33241259,446550,4000,Moyenne
Uzbekistan ,27307134,447400,1700,Faible
Sweden ,9016596,449964,26800,Elevée
Papua New Guinea ,5670544,462840,2200,Moyenne
Cameroon ,17340702,475440,1800,Faible
Turkmenistan ,5042920,488100,5800,Moyenne
Spain ,40397842,504782,22000,Elevée
Thailand ,64631595,514000,7400,Moyenne
Yemen ,21456188,527970,800,Faible
France ,60876136,547030,27600,Elevée
Kenya ,34707817,582650,1000,Faible
Madagascar ,18595469,587040,800,Faible
Botswana ,1639833,600370,9000,Moyenne
Ukraine ,46710816,603700,5400,Moyenne
Central African Rep. ,4303356,622984,1100,Faible
Somalia ,8863338,637657,500,Faible
Afghanistan ,31056997,647500,700,Faible
Burma ,47382633,678500,1800,Faible
Zambia ,11502010,752614,800,Faible
Chile ,16134219,756950,9900,Moyenne
Turkey ,70413958,780580,6700,Moyenne
Mozambique ,19686505,801590,1200,Faible
Namibia ,2044147,825418,7200,Moyenne
Venezuela ,25730435,912050,4800,Moyenne
Tanzania ,37445392,945087,600,Faible
Egypt ,78887007,1001450,4000,Moyenne
Mauritania ,3177388,1030700,1800,Faible
Bolivia ,8989046,1098580,2400,Moyenne
Ethiopia ,74777981,1127127,700,Faible
Colombia ,43593035,1138910,6300,Moyenne
South Africa ,44187637,1219912,10700,Moyenne
Mali ,11716829,1240000,900,Faible
Angola ,12127071,1246700,1900,Faible
Niger ,12525094,1267000,800,Faible
Chad ,9944201,1284000,1200,Faible
Peru ,28302603,1285220,5100,Moyenne
Mongolia ,2832224,1564116,1800,Faible
Iran ,68688433,1648000,7000,Moyenne
Libya ,5900754,1759540,6400,Moyenne
Saudi Arabia ,27019731,1960582,11800,Moyenne
